"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"Pla2g4a","OK",0,68.761357582807,0.166844415112035,"Pla2g4a",0
"Tpr","OK",0,64.1703921868802,0.155653932923404,"Tpr",0
"Ivns1abp","OK",0,74.5917564615669,0.180992005137766,"Ivns1abp",0
"Fam129a","OK",0,172.363438796217,0.418201336064407,"Fam129a",0
"Edem3","OK",0,59.4129711349115,0.14412272207928,"Edem3",0
"1700025G04Rik","OK",0,96.2234116895238,0.23348445455271,"1700025G04Rik",0
"Tsen15","OK",0,45.3479680955766,0.110011032710717,"Tsen15",0
"Arpc5","OK",0,70.09454529189,0.170051380699848,"Arpc5",0
"Ncf2","OK",0,100.987808712291,0.245071783360222,"Ncf2",0
"Npl","OK",0,86.5631756648256,0.21005099481258,"Npl",0
"Cacna1e","OK",0,42.0643108954425,0.100169871649329,"Cacna1e",0
"Ier5","OK",0,78.1155449337718,0.189540937341349,"Ier5",0
"Acbd6","OK",0,47.1154394693901,0.114298271790308,"Acbd6",0
"Gm2000","OK",0,43.5695780548908,0.1056939747088,"Gm2000",0
"Soat1","OK",0,116.683081167508,0.283151743903671,"Soat1",0
"Tor3a","OK",0,88.9510008708561,0.215845576319076,"Tor3a",0
"Ralgps2","OK",0,65.9214338584861,0.159950691260379,"Ralgps2",0
"4930523C07Rik","OK",0,68.0677481036692,0.165160949094764,"4930523C07Rik",0
"Mrps14","OK",0,102.675488566906,0.249125837154335,"Mrps14",0
"Cacybp","OK",0,141.736152285728,0.34394000274601,"Cacybp",0
"Rabgap1l","OK",0,184.003800303941,0.4465756489612,"Rabgap1l",0
"Dars2","OK",0,38.055024080574,0.0923036319817854,"Dars2",0
"Cenpl","OK",0,101.630389565363,0.246610853606201,"Cenpl",0
"Prdx6","OK",0,135.218978691531,0.328091969907619,"Prdx6",0
"Prrc2c","OK",0,54.4603236675396,0.132104725767319,"Prrc2c",0
"Prrx1","OK",0,55.178604316036,0.113332666366772,"Prrx1",0
"Gm26523","OK",0,53.7360796753399,0.106408428831416,"Gm26523",0
"BC055324","OK",0,38.8503579612363,0.0942257422139134,"BC055324",0
"Sell","OK",0,249.002468272766,0.604358963288855,"Sell",0
"Selp","OK",0,89.6721685146527,0.217545192895871,"Selp",0
"F5","OK",0,97.8112023087079,0.237220019626584,"F5",0
"Atp1b1","OK",0,45.075825456408,0.109210000644554,"Atp1b1",0
"Mpc2","OK",0,65.5738461554057,0.159099313733205,"Mpc2",0
"Rcsd1","OK",0,147.412522888353,0.357761916311113,"Rcsd1",0
"Creg1","OK",0,79.3412368441995,0.192480667816455,"Creg1",0
"Uck2","OK",0,67.0224100448328,0.162623624437362,"Uck2",0
"Tmco1","OK",0,52.4381727987229,0.127214539726941,"Tmco1",0
"Aldh9a1","OK",0,42.8132991922329,0.103858551425949,"Aldh9a1",0
"Mgst3","OK",0,80.0254710013243,0.19418147401701,"Mgst3",0
"Pbx1","OK",0,292.998112159856,0.71115860153565,"Pbx1",0
